,Medium,Classification,Title,Artist,ConstituentID,ThumbnailURL,class_color
32,"Ink, graphite, watercolor, gouache, and airbrush on paper",Architecture,"Royal Hunting Tent, project, Exterior perspective",Marcel Kammerer,7607,http://www.moma.org/media/W1siZiIsIjIwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0cfad4657585b97a,
63,Colored pencil and graphite on tracing paper,Architecture,"Concert Hall Project, Dresden, Germany (Interior perspective of preliminary scheme)",Hans Poelzig,8100,http://www.moma.org/media/W1siZiIsIjE2NjgxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=884382c17959ab44,
64,Graphite,Architecture,"Earth-Cloud House, project",Raimund Abraham,47,http://www.moma.org/media/W1siZiIsIjUyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c06ca87b3167c14,
67,Ink and pastel on paper,Architecture,"Pedestrian City project, Hypostyle Courtyard (Structural details)",Roger C. Ferri,1863,http://www.moma.org/media/W1siZiIsIjIxMDA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c72670d20c61cbca,
71,Pastel on paper,Architecture,"Pedestrian City project, Hypostyle Courtyard (Perspective)",Roger C. Ferri,1863,http://www.moma.org/media/W1siZiIsIjU5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f06baea139f1464d,
72,Graphite and crayon on yellow tracing paper,Architecture,"Fargo-Moorhead Cultural Center Bridge, project, Fargo, North Dakota and Moorhead, Minnesota, South elevation",Michael Graves,2308,http://www.moma.org/media/W1siZiIsIjYwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9e7b80f6dd37f836,
73,Ink and graphite on paper,Architecture,"Vacation House Project, Aspen, Colorado, Elevations, interior and exterior perspectives and plan",Michael Graves,2308,http://www.moma.org/media/W1siZiIsIjYyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1fc15dbd4c87f646,
74,"Graphite, ink and crayon on paper",Architecture,"French & Company, project, New York (Manhattan), New York, Facade study",Michael Graves,2308,http://www.moma.org/media/W1siZiIsIjY0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=53611c85c177beee,
75,Graphite and Prismacolor crayon on tracing paper,Architecture,"Vacation House, project, Aspen, Colorado, Fireplace",Michael Graves,2308,http://www.moma.org/media/W1siZiIsIjY1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=42b1a231ce0d7234,
78,Graphite and crayon on tracing paper mounted on board,Architecture,"Villa Snellman, Djursholm, Sweden, Elevation of garden facade, sketch",Erik Gunnar Asplund,27,http://www.moma.org/media/W1siZiIsIjc3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0dd2f51679b4b278,
79,Ink on ozalid,Architecture,"Villa Snellman, Djursholm, Sweden, Exterior elevation",Erik Gunnar Asplund,27,http://www.moma.org/media/W1siZiIsIjc5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec2aa7e1031cf1f7,
84,Ink on paper mounted on board,Architecture,"Skandia Cinema, Stockholm, Sweden, Elevation of front of auditorium",Erik Gunnar Asplund,27,http://www.moma.org/media/W1siZiIsIjg3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c926ff3a64e73ba,
94,Gouache on board,Architecture,"Stockholm Exhibition, Stockholm, Sweden (Elevation of advertising tower)",Erik Gunnar Asplund,27,http://www.moma.org/media/W1siZiIsIjEwNDgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=6751f81fb3e3b915,
