,Medium,Classification,Title,Artist,ConstituentID,ThumbnailURL,class_color
8009,"Collage with photograph, pencil and watercolor manuscript text.",Drawing,Valia Zdanevich,Aleksei Kruchenykh,3263,http://www.moma.org/media/W1siZiIsIjY3OTM4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8be92eecdd1572ab,black
13051,Pencil and colored pencil on graph paper,Drawing,Study for cover of Novyi LEF (New LEF),Aleksandr Rodchenko,4975,http://www.moma.org/media/W1siZiIsIjY4MTcxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=37a96ae21082966a,black
13065,"Ink, watercolor, and pencil on paper",Drawing,Dimensional Curve Interlace,Iakov Chernikhov,1093,http://www.moma.org/media/W1siZiIsIjIwODU5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8cb1d2a9f7fa56a3,black
13100,"Cut-and-pasted printed paper and cut-and-pasted gelatin silver print with gouache, ink, and pencil additions on board",Drawing,Maquette for cover of Agronomy,Kirill Zdanevich,11875,http://www.moma.org/media/W1siZiIsIjI2NDgwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0e47dd8e658035e1,black
13213,Pencil and colored pencil on lined paper,Drawing,Study for cover of Sovremennaia Arkhitektura (Contemporary Architecture),Varvara Stepanova,5643,http://www.moma.org/media/W1siZiIsIjIwODYzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=982e32a5f6c05296,black
13218,Gouache on paper,Drawing,Study for Tribun Poetov (Tribune of Poets),Kirill Zdanevich,11875,http://www.moma.org/media/W1siZiIsIjI2NDgxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e16ca78acdbeb57,black
13230,Colored pencil and ink on paper,Drawing,Manuscript of Rekord nezhnosti: Zhitie Il'ia Zdanevicha (Record of Tenderness: Hagiography of Il'ia Zdanevich),Igor' Terent'ev,12509,http://www.moma.org/media/W1siZiIsIjI2NjI4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a2ea833e1be3178,black
31115,Gouache on acetate,Drawing,Preparatory drawing for In Memory of My Feelings,Lee Krasner,3240,http://www.moma.org/media/W1siZiIsIjMwOTA1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=39650a93db981056,black
31526,Pencil and chalk on paper,Drawing,Pavlova's Foot,Savely Sorine,5531,http://www.moma.org/media/W1siZiIsIjMzNTA2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b3c58d48b48b8c04,black
31528,Tempera on paper over composition board,Drawing,Pacific Landscape,Ben Shahn,5366,http://www.moma.org/media/W1siZiIsIjIyNTIzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1cc4f79af7793a73,black
31532,Oil on board,Drawing,On the Beach of Trestrignel,Maurice Denis,1492,http://www.moma.org/media/W1siZiIsIjEwNTg3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=04e7c3abc81d9f42,black
31534,Gouache and ink on paper,Drawing,Costume design for the ballet The Minotaur,Joan Junyer,2956,http://www.moma.org/media/W1siZiIsIjQzMTIxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=07c5b9958eaa7544,black
31535,Monotype with pencil additions,Drawing,Music on the Gallery,Romare Bearden,412,http://www.moma.org/media/W1siZiIsIjIwNzk3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fd3250faa70cffb2,black
31541,"Watercolor, crayon, charcoal, and pencil on paper",Drawing,Garden of Memories,Charles Burchfield,870,http://www.moma.org/media/W1siZiIsIjI1NjcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=75423ca31f0bf75a,black
31545,"Watercolor, gouache and pencil on paper",Drawing,Blue Horse with Rainbow (Blaues Pferd mit Regenbogen),Franz Marc,3748,http://www.moma.org/media/W1siZiIsIjEzNTE4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d089636936f952b5,black
31550,"Gouache, watercolor, crayon, charcoal, ink, and pencil on paper",Drawing,Insects at Twilight,Charles Burchfield,870,http://www.moma.org/media/W1siZiIsIjI0NDkzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=139aa02d02853c97,black
31551,Cut-and-pasted gelatin silver prints on lithograph with letterpress,Drawing,Monte Carlo Bond (No. 12),Marcel Duchamp,1634,http://www.moma.org/media/W1siZiIsIjc1MTc0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a3aac4a994e64365,black
31552,Tempera on mulberry paper,Drawing,The Individual State of the World,Morris Graves,2309,http://www.moma.org/media/W1siZiIsIjY1NTY1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=2071195da0a010d6,black
31553,Watercolor on paper,Drawing,"Early Houses, Provincetown",Charles Demuth,1490,http://www.moma.org/media/W1siZiIsIjExNTg2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=36eee28214fc55bd,black
31557,Pencil  and colored pencil on paper,Drawing,"Seated Woman (Sitzend nach rechts, Halbbild)",Gustav Klimt,3147,http://www.moma.org/media/W1siZiIsIjEzNjE3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=830a8df1c31711f6,black
31558,Felt-tip pen on mulberry papier mâché globe,Drawing,Sphere,Henry Pearson,4530,http://www.moma.org/media/W1siZiIsIjg1MjY2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a87e34da2f0b868a,black
31560,Pencil and pastel on gelatin silver print,Drawing,Abstract Composition,Lawrence Atkinson,233,http://www.moma.org/media/W1siZiIsIjI0MjMyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=51f2574e817d950a,black
31563,Watercolor and pencil on paper,Drawing,The Interurban Line,Charles Burchfield,870,http://www.moma.org/media/W1siZiIsIjE2NjM2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=94a1c46cc54b8477,black
31565,Ink on paper (recto and verso),Drawing,Dispute by Moonlight (Disput bei Mondschein) (recto); Two Men (verso),George Grosz,2374,http://www.moma.org/media/W1siZiIsIjE2NjM2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=323535cc6789d7f7,black
31568,Watercolor on paper (recto and verso),Drawing,Brooding Woman (recto); Three Children (verso),Pablo Picasso,4609,http://www.moma.org/media/W1siZiIsIjIwOTk5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=deaebf73f2ce1293,black
31572,Charcoal and chalk on colored paper,Drawing,Eye-Balloon (Œil-ballon),Odilon Redon,4840,http://www.moma.org/media/W1siZiIsIjI2Mzk0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9d55da48a05aea4e,black
31575,Ink on transparentized graph paper,Drawing,"Music for Carillon, # 4, Page 2",John Cage,912,http://www.moma.org/media/W1siZiIsIjg4ODM0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=6b4d723e155d0dee,black
31579,"Gouache, ink, and wax on paper",Drawing,Composition in Red,Sandu Darie,1391,http://www.moma.org/media/W1siZiIsIjI0Mzg4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=98f1daf1cdaa4caf,black
31580,Ink and chalk on paper,Drawing,Standing Nude,Charles Camoin,935,http://www.moma.org/media/W1siZiIsIjMyNDY1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ba218e87876b1968,black
31581,Ink on paper mounted on plywood,Drawing,Work 60 C,Nankoku Hidai,2632,http://www.moma.org/media/W1siZiIsIjQ3ODg4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b58e5376298f07f,black
31585,Ink on transparentized graph paper on board,Drawing,"Music for Carillon, # 4, Page 3",John Cage,912,http://www.moma.org/media/W1siZiIsIjE3NjAwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=74ec5f467649be8e,black
31589,Cut-and-pasted colored photo-engravings,Drawing,Innocence in a Labyrinth,Landès Lewitin,3526,http://www.moma.org/media/W1siZiIsIjM5NTYzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f36555536ba95875,black
31592,"Parcel post wrapping, stamps, ink, and cut-and-pasted printed paper",Drawing,Collage,Ivo Pannaggi,4484,http://www.moma.org/media/W1siZiIsIjI2NDAwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=68782d9d4f44ad98,black
31594,Ink on paper mounted on silk scroll,Drawing,Work 59-42,Nankoku Hidai,2632,http://www.moma.org/media/W1siZiIsIjQ3ODQ2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=980b821d89400e66,black
31599,Chalk on colored paper,Drawing,A Young Girl,Balthus (Baltusz Klossowski de Rola),317,http://www.moma.org/media/W1siZiIsIjIxMDAwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df2d203ac13cc721,black
31600,Oil wash on paper,Drawing,Diver,Eric Fischl,1889,http://www.moma.org/media/W1siZiIsIjMyMjMzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=860b3b2d741d3be6,black
31602,Oil and gouache on board,Drawing,Self-Portrait (Autorretrato),Luis Herrera Guevara,2618,http://www.moma.org/media/W1siZiIsIjQzNjMwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=872d655f136e2487,black
31603,Ink and pencil on paper,Drawing,The Seeming Beginning,Dorothy Hood,2722,http://www.moma.org/media/W1siZiIsIjI3OTA1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3243e104a3bf183,black
31606,"Charcoal pencil, and gouache on cardboard",Drawing,Figures for a Corner,Joan Junyer,2956,http://www.moma.org/media/W1siZiIsIjI3OTI5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aff5b3d5f81825e9,black
31608,Watercolor and charcoal on paper,Drawing,The End of the Road (Out of Fear of Starvation) [Das Ende des Weges (Aus Nahrungssorgen)],George Grosz,2374,http://www.moma.org/media/W1siZiIsIjEyMTkwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e411740632be231a,black
31616,Colored ink and pencil on paper,Drawing,"Instant House #2, Drawing",Vito Acconci,53,http://www.moma.org/media/W1siZiIsIjMxMDIwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=25179db5afd1edac,black
31617,Pigmented paste on newspaper,Drawing,Letter Ghost (Geist eines Briefes),Paul Klee,3130,http://www.moma.org/media/W1siZiIsIjEzNjIwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3f7c26969e20087c,black
31619,Ink and watercolor on paper,Drawing,Studies for Balanced Sculpture,Lynn Chadwick,1054,http://www.moma.org/media/W1siZiIsIjI4MzQyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c63f0da37d20b354,black
31624,"Watercolor, ink, and pencil on paper",Drawing,Sanford Tanks,Ralston Crawford,1298,http://www.moma.org/media/W1siZiIsIjE4NjYwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e2b102837a67b220,black
31637,Pencil on brown paper,Drawing,Study for Mosque near Biskra,Louis Michel Eilshemius,1701,http://www.moma.org/media/W1siZiIsIjQyMDg0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee7bf96d3cf51209,black
31641,"Gouache, watercolor, and colored paper on cut-and-pasted paper",Drawing,Composition,Vanessa Bell,445,http://www.moma.org/media/W1siZiIsIjI0Mzg5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ca04716eebb4689f,black
31643,"Watercolor and graphite on paper, laminated",Drawing,Camcorder 9,Tony Oursler,7489,http://www.moma.org/media/W1siZiIsIjI1MTQwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6eb50a4a44d5a63e,black
31645,Casein on cardboard,Drawing,Dark Jungle,Ynez Johnston,2929,http://www.moma.org/media/W1siZiIsIjM2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4ae31465b681850f,black
31646,"Watercolor, ink, and charcoal on paper",Drawing,From Japan,Dorothy Dehner,1467,http://www.moma.org/media/W1siZiIsIjIxNzY0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ea4a58c2d7ac7703,black
31651,"Cut-and-pasted paper, watercolor, and ink on wood, on linen-covered mount",Drawing,A Certificate of Authenticity,José Luis Cuevas,1325,http://www.moma.org/media/W1siZiIsIjI1MjkxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7a8a4b0067f8f5ee,black
31657,Ink and colored ink on paper,Drawing,Construction,Aleksandr Rodchenko,4975,http://www.moma.org/media/W1siZiIsIjM0Nzg4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=95fe2677444c5c33,black
31668,White ink on black paper,Drawing,The Doll,Hans Bellmer,452,http://www.moma.org/media/W1siZiIsIjIxMDAxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=568b703817795fee,black
31676,"Cut-and-pasted paper with ink transfer on paper, mounted on board",Drawing,Black Earth (Terres noires),Jean Dubuffet,1633,http://www.moma.org/media/W1siZiIsIjIxMDAxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=780ed4e7ac46f0f1,black
31677,"Watercolor, dry brush and ink, and graphite on paper",Drawing,Two Figures,Yasuo Kuniyoshi,3296,http://www.moma.org/media/W1siZiIsIjIwODAwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4e7c23bd427ef9ad,black
31680,Cut-and-pasted painted fabric and paper on cardboard,Drawing,Ascent 3,Leo Manso,3739,http://www.moma.org/media/W1siZiIsIjI4MTg2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a083cc48660c30a9,black
31684,"Ink, crayon, and pencil on paper",Drawing,Study for Radio City Music Hall Mural,Stuart Davis,1412,http://www.moma.org/media/W1siZiIsIjQzMDY2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af7f5bf64b71a9eb,black
31691,"Oil transfer drawing and watercolor with watercolor borders on board 
",Drawing,Girl with Doll Carriage (Mädchen mit Puppenwagen),Paul Klee,3130,http://www.moma.org/media/W1siZiIsIjk4NTM0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=b2f2b89aff1aa2fd,black
31700,"Charcoal, pastel, and pencil on paper",Drawing,Second Baby Drawing,Jim Dine,1547,http://www.moma.org/media/W1siZiIsIjcxNDgzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=cd8de381fd637c1e,black
31704,Tempera and watercolor on mulberry paper,Drawing,Bird Singing in the Moonlight,Morris Graves,2309,http://www.moma.org/media/W1siZiIsIjIwODAxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=759069ba2f836647,black
31707,Gouache and watercolor on paper,Drawing,Head of the Medical Student (Study for Les Demoiselles d'Avignon),Pablo Picasso,4609,http://www.moma.org/media/W1siZiIsIjQzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=87627ce836023388,black
31708,"Watercolor, gouache, ink, and pencil on paper",Drawing,Roman Actors,Wyndham Lewis,3525,http://www.moma.org/media/W1siZiIsIjE2NjA3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df04389b8f06bbe7,black
31709,Colored pencil on paper,Drawing,"Woman with Scarf (Dame im Dreiviertelprofil nach links, den Mund und einen Teil der Frisur durch Umhang verdeckt)",Gustav Klimt,3147,http://www.moma.org/media/W1siZiIsIjExNDAyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9361dd2f97346cc6,black
31710,Felt-tip pen on paper on board,Drawing,Axial Figure,Jan Lebenstein,3444,http://www.moma.org/media/W1siZiIsIjM0MTk3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c82b90895e127b3,black
31715,"Watercolor, gouache, and ink on paper",Drawing,Little Sonny Summer,Peter Blake,592,http://www.moma.org/media/W1siZiIsIjMyMTMzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=111f8687eb6d8996,black
31716,Synthetic polymer paint on paper,Drawing,"o.T. COLOR TEST, BLUE (o.T. FARBPROBE, BLAU)",Sigmar Polke,4671,http://www.moma.org/media/W1siZiIsIjI3ODc5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=50c69049987c8c66,black
31717,"a)  Crayon, ink stamp, cut-and-pasted printed paper and transfer type on brown paper
b)  Crayon, ink stamp, and pencil on brown paper
c)  Crayon, ink stamp, cut-and-pasted printed paper on brown paper with cut-out on brown paper
d)  Crayon, ink stamp, cut-and-pasted printed paper and pencil on brown paper with cut-out on brown paper
e)   Crayon, ink stamp and pencil on brown paper with cut-outs",Drawing,Video Models,Robert Filliou,1873,http://www.moma.org/media/W1siZiIsIjEwMTQxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dc82440aa6e22373,black
31721,Gouache and watercolor on mulberry paper,Drawing,Blind Bird,Morris Graves,2309,http://www.moma.org/media/W1siZiIsIjY1NTYxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=b75dd855b8c9eda8,black
31726,Ink and pencil on transparentized paper,Drawing,Study for The Solomon R. Guggenheim,Richard Hamilton,2481,http://www.moma.org/media/W1siZiIsIjM3NTI5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2b2f0fbf1461a5ff,black
31731,Spiral-bound notebook with felt-tip pen and cut paper,Drawing,Log from July 29 / 10:00 a.m.–1:00 p.m. (Protokoll vom 29.7. / 10–13:00),Sigmar Polke,4671,http://www.moma.org/media/W1siZiIsIjIyNjQ5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=11c98325b5000dac,black
31732,Pigment and varnish on cut-and-pasted paper,Drawing,AS IV,Roni Horn,7503,http://www.moma.org/media/W1siZiIsIjI0NzA3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d7f6dddd223cb004,black
31736,Pencil and ink on paper,Drawing,English Nightfall Piece,Morris Graves,2309,http://www.moma.org/media/W1siZiIsIjIyMDY5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=05d98170e9f5bdf6,black
31738,Crayon on black paper,Drawing,Performer,Richard Oelze,4376,http://www.moma.org/media/W1siZiIsIjMxODAxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=41c08540b77c2bfb,black
31740,"Chalk, crayon, pencil, and ballpoint pen on paper",Drawing,Study for Bus Series,Allen Jones,2931,http://www.moma.org/media/W1siZiIsIjMwNjk0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=133dfc9566b694f9,black
31741,Crayon and pencil on paper,Drawing,Girl,Horst Janssen,2887,http://www.moma.org/media/W1siZiIsIjE1NDYwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a71f4209030666a4,black
31746,Pencil and colored ink on paper,Drawing,French Nightfall Piece,Morris Graves,2309,http://www.moma.org/media/W1siZiIsIjIyMDY5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a1e8de8f55d7c604,black
31750,Gouache and oil on board,Drawing,The Three Judges,Georges Rouault,5053,http://www.moma.org/media/W1siZiIsIjIxMDAyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cfcb2772c8012212,black
31752,Gouache and charcoal on paper,Drawing,Study,Arnaldo Pomodoro,4676,http://www.moma.org/media/W1siZiIsIjI3ODgwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=baf040939810fd49,black
31758,Pencil on graph paper,Drawing,Study for Perpetuum Mobile,Aleksandr Rodchenko,4975,http://www.moma.org/media/W1siZiIsIjMyNDU2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=05b1d34f35d06dbf,black
31761,"Cut-and-pasted colored paper and printed paper, oil, and pencil on paperboard",Drawing,Picture with Light Center (Bild mit heller Mitte),Kurt Schwitters,5293,http://www.moma.org/media/W1siZiIsIjcyODY4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=bf7098c59e4a72ce,black
31763,Tempera on board,Drawing,The Violin Player,Ben Shahn,5366,http://www.moma.org/media/W1siZiIsIjIyNTIzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fc073b456f021250,black
31767,Charcoal and chalk on paper,Drawing,The Masque of the Red Death (Le Masque de la mort rouge),Odilon Redon,4840,http://www.moma.org/media/W1siZiIsIjY0Njk2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=b1a22fdf1da983fa,black
31770,Pencil and colored pencil on paper,Drawing,Big Table,Naoto Nakagawa,4209,http://www.moma.org/media/W1siZiIsIjExMjMxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=33c9dcb2ec010ecf,black
31771,Graphite wash and pencil on colored paper,Drawing,Numbers,Jasper Johns,2923,http://www.moma.org/media/W1siZiIsIjIxNDkyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=60c0385a9ed15562,black
31772,Oil on paper,Drawing,Still Life,Lee Krasner,3240,http://www.moma.org/media/W1siZiIsIjE4MjA1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee57e5c2c188fb5f,black
31774,Synthetic polymer paint and gesso on newspaper,Drawing,Red Turtle,Paul Thek,6637,http://www.moma.org/media/W1siZiIsIjE2ODYxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1b8ceba176fa62ac,black
31780,Pastel on colored paper,Drawing,Yellow Flowers,Odilon Redon,4840,http://www.moma.org/media/W1siZiIsIjIxMDAzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e680f29dbc4ce2b7,black
31786,"Pencil, colored pencil, and metallic paint on paper",Drawing,This Side of the Room,Naoto Nakagawa,4209,http://www.moma.org/media/W1siZiIsIjExMjMxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc0f6acc5f289b1a,black
31803,"Cut-and-pasted printed paper, charcoal, pastel, and pencil on paper",Drawing,Still Life with Glass and Letters,Georges Braque,744,http://www.moma.org/media/W1siZiIsIjc1MTY3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=7b8e7055ad88fc85,black
31806,Tempera on transparentized paper,Drawing,Little-Known Bird of the Inner Eye,Morris Graves,2309,http://www.moma.org/media/W1siZiIsIjY0NjUzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=d50601dba905d010,black
31814,Cut-and-pasted printed paper with cut-and-pasted gelatin silver prints and pencil on paper,Drawing,Tortured Life,Eduardo Paolozzi,4488,http://www.moma.org/media/W1siZiIsIjEzNjA3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1fd193019d834401,black
